;100;200;500;1000;2000;5000;7500;10000;15000;30000;50000;75000;100000;200000;500000;750000;1000000;1250000;1500000;2000000;
shell;668;1628;5101;11672;26226;77834;118056;168922;256288;549969;976151;1536146;2055863;4315550;11295715;17695546;23602097;30747054;36906247;49205596;
