;50;100;200;300;500;750;1000;1500;2000;3000;5000;7500;10000;12500;15000;20000;25000;30000;40000;50000;75000;100000;125000;150000;175000;200000;225000;250000;
BST-query;342;748;1705;2709;5553;8631;11729;19478;26283;43109;79172;122609;162987;212281;264197;361443;448148;572443;26855675;149290139;892975390;2261567610;4254963016;6873875177;10116925204;13985804755;18479593169;23597586471;
