;100;200;500;1000;2000;5000;7500;10000;15000;30000;50000;75000;100000;200000;500000;750000;1000000;1250000;1500000;2000000;
shell;0.018793;0.049114;0.077899;0.39150599999999997;0.4018;1.350568;1.992296;2.826842;4.348229;10.607858;27.013195;42.642761;56.857738;188.592286;656.80209;1027.8321210000001;1679.809028;2157.601358;2593.536821;3935.040927;
