;100;200;500;1000;2000;5000;7500;10000;15000;30000;50000;75000;100000;200000;500000;750000;1000000;1250000;1500000;2000000;
knuth;685;1583;4224;9245;19984;54734;82781;113571;166034;338619;527270;764225;1016126;2106439;5617430;8618487;11815583;15064203;18312652;24809542;
