;100;200;500;1000;2000;5000;7500;10000;15000;30000;50000;75000;100000;200000;500000;750000;1000000;1250000;1500000;2000000;
knuth;230;729;1789;3862;7070;17987;31476;49461;59503;160278;218367;345408;459585;1038934;2403749;3397578;3958579;6680522;7223894;9291226;
