;100;200;500;1000;2000;5000;7500;10000;15000;30000;50000;75000;100000;200000;500000;750000;1000000;1250000;1500000;2000000;
low;0.026954000000000002;0.042827;0.082605;0.505988;0.726525;8.752146;12.761899;15.460889;32.79222;87.65986699999999;255.32938099999998;644.571769;1195.056366;4051.00891;16028.975365;27531.235932;41043.878542000006;56469.904033;71462.05719200001;92567.583669;
