;50;100;200;300;500;750;1000;1500;2000;3000;5000;7500;10000;12500;15000;20000;25000;30000;40000;50000;75000;100000;125000;150000;175000;200000;225000;250000;
BST-build;0.007511;0.03128;0.054922;0.059875;0.124774;0.18061000000000002;0.291148;0.27476100000000003;0.395857;0.5941420000000001;1.112185;1.784262;2.737129;3.51967;6.269051;6.1032910000000005;14.076863;10.178837;379.215215;2165.095986;14401.299085;41392.627043;82687.98495700001;143986.727527;207491.729611;274049.983651;378253.73472899996;488703.643934;
