;50;100;200;300;500;750;1000;1500;2000;3000;5000;7500;10000;12500;15000;20000;25000;30000;40000;50000;75000;100000;125000;150000;175000;200000;225000;250000;
BST-query;0.005764999999999999;0.012904;0.02793;0.035948;0.06842000000000001;0.096208;0.187648;0.204268;0.275781;0.45646800000000004;0.993385;1.6351980000000002;2.3548310000000003;3.08762;5.352672999999999;5.106517;7.537122999999999;9.648239;224.497663;1372.350486;8408.179899;24170.904668000003;48581.083579000006;81822.071902;125809.64451700001;169138.168771;229195.771346;331683.53275099996;
